39|Mailx Cheat Sheet|Quase todos os comandos enumerados|https://www.ibm.com/support/knowledgecenter/en/SSLTBW_2.1.0/com.ibm.zos.v2r1.bpxa500/mailx.htm|mailx|cheat sheet|mail|2021-01-12 23:56:07
40|Use Traceroute and MTR|How to use these two network analysis tools|https://www.digitalocean.com/community/tutorials/how-to-use-traceroute-and-mtr-to-diagnose-network-issues|traceroute|mtr|network|2021-01-13 20:41:52
41|How to create a Mail server with SSL/TLS on Linux|Important just to know how to implement ssl/tls|https://www.techticity.com/howto/how-to-create-a-mail-server-with-ssl-tls-on-linux/|starttls|ssl/tls|ssl|2021-01-14 02:53:16
42|256 Colors Cheat Sheet|Cheat sheet with the xterm colors|https://web.archive.org/web/20190712111427/https://jonasjacek.github.io/colors/|colors|256|color|2021-01-14 18:47:50
43|Icecream Python Debugging Tool|Icecream is a Python library that makes print debugging more readable with minimal code.|https://towardsdatascience.com/stop-using-print-to-debug-in-python-use-icecream-instead-79e17b963fcc|icecream|debugging|debug|2021-01-17 23:54:33
44|Trepan Python Debugger|Documentation for python debugger|https://python2-trepan.readthedocs.io|debugger|debug|trepan3k|2021-01-18 03:08:13
45|Git platform where I keep my stuff|Trying this service to see how I like it|https://notabug.org|notabug|git|version|2021-01-18 16:20:16
46|Git Documentation|It's Notabug's language|https://git-scm.com/docs|git|notabug|version|2021-01-18 16:26:09
47|Creating Vim templates|How to create a skeleton configuration for vim files|https://vimawesome.com/plugin/vim-templates-are-made-of|templates|skeleton|vim|2021-01-19 13:45:21
48|EverSQL| SQL Syntax Checker and Validator. Helpfull for when you're going crazy trying to guess what the hell is wrong this time.|https://www.eversql.com/sql-syntax-check-validator/|sqlite|mysql|syntax checker|2021-01-20 09:35:26
49|List of Project Based Python Lessons|O que vi pareceu-me muito bem.|https://github.com/tuvtran/project-based-learning#python|python|learn to code|learning|2021-01-20 11:42:40
50|Fire|App that turns everything into a command-line app|https://github.com/google/python-fire/blob/master/examples/identity/identity.py|fire|python|cli|2021-01-20 12:36:49
51|Visidata| Tabulated Data Analyzer. Think of it as a cli Excel, but much more humble|https://www.visidata.org/docs/customize/|visidata|excel|tables|2021-01-20 13:22:01
52|CliFlix|Cli torrent downloader and Player. It plays as it downloads and does it well.|https://github.com/fabiospampinato/cliflix|cliflix|torrents|pirataria|2021-01-20 13:56:55
53|Sultan a simpler subprocess|Does what subprocess does but it looks much simpler and way friendlier|https://sultan.readthedocs.io/en/latest/|sultan|subprocess|python|2021-01-20 14:30:36
54|Creating FULLTEXT Indexes for Full-Text Search|in this tutorial, you will learn how to define the full-text index for performing various full-text searches in MySQL.|https://www.mysqltutorial.org/activating-full-text-searching.aspx/|fulltext|full text|mysql|2021-01-22 18:57:16
55|Create MySQl's  Full Text Indexes|Mysql's equivalent of Sqlite's virtual tables|https://www.mysqltutorial.org/activating-full-text-searching.aspx/|search|full text|mysql|2021-01-22 20:46:39
57|Mycli, Mysql in Terminal|A cli frontend for Mysql|https://www.mycli.net|mycli|mysql|frontwnd|2021-01-23 19:47:04
58|How To Use Rsync to Sync Local and Remote Directories|How to use rsync|https://tinyurl.com/ye5rkavy|rsync|backups|backup|2021-04-21 01:04:07
59|How to install Gitea|Better than the official documentation|https://tinyurl.com/yetv596e|gitea|installation|git|2021-04-21 03:02:47
60|Rich|Rich is a Python library for writing rich text (with color and style) to the terminal, and for displaying advanced content such as tables, markdown, and syntax highlighted code.|https://rich.readthedocs.io|rich|command line|tables|2021-05-01 09:12:44
61|Cherrypy|Python micro web framework|https://docs.cherrypy.org|cherrypy|web framework|web|2021-05-01 15:20:13
62|Bookcut|BookCut is a Python Command Line Interface tool, that help the user to download free e-books|https://github.com/costis94/bookcut|bookcut|ebooks|ebook|2021-06-04 23:54:19
63|Artvee|Browse and download high-resolution, public domain artworks|https://artvee.com/|artvee|public domain|paintings|2021-06-15 10:45:59
64|Lighttpd Documentation|lighttpd is a secure, fast, compliant, and very flexible web-server|https://tinyurl.com/yzw5xh3h|lighttpd|web server|apache|2021-06-19 14:22:02
65|HTML to Markdown Converter|This and other good tools|https://tinyurl.com/yza7nten|html|markdown|converter|2021-06-23 23:17:43
66|Resize Images|Image resizer|https://tinyurl.com/ydtyr2g4|resize|images|resizer|2021-06-23 23:21:42
67|Ls-colors| modified ls that print icons|https://tinyurl.com/ybboeh4e|ls-colors|icons|terminal|2021-06-25 23:53:01
68|warning: remote HEAD refers to nonexistent ref|What to do if said error appears on git clone|https://tinyurl.com/yec5jm7d|git|clone|git clone|2021-06-26 02:26:40
69|Getting Started With Nginx|Tutorial for Nginx first steps|https://tinyurl.com/yew2tbzz|nginx|tutorial|configuration|2021-06-28 18:38:38
70|Serve PHP with PHP-FPM and NGINX|How to configure php with php-fpm and nginx|https://tinyurl.com/yzqrw9eu|nginx|php|php-fpm|2021-06-28 18:40:01
71|How to fetch data from Database in PHP PDO |How to get db information to a site|https://tinyurl.com/yj5mom4s|php|pdo|mysql|2021-06-28 20:05:16
72|See Icons in Font|See available icons on a font|https://fontdrop.info|icons|fonts|glyphs|2021-06-29 03:30:03
73|See glyphs in font|See glyphs in a font|https://tinyurl.com/yggxn32x|glyphs|icons|fonts|2021-06-29 04:27:59
74|Markdown Cheatsheet|A cheatsheet for markdown|https://tinyurl.com/jxo2ve3|markdown|md|syntax|2021-06-29 13:34:15
